Per- 85.88%	Prec- 89.42%	Rec- 87.74%	F1- 88.57%
Per- 93.53%	Prec- 95.50%	Rec- 94.64%	F1- 95.07%
Per- 90.59%	Prec- 90.60%	Rec- 95.50%	F1- 92.98%
Per- 90.00%	Prec- 91.21%	Rec- 90.22%	F1- 90.71%
Per- 92.35%	Prec- 95.24%	Rec- 92.59%	F1- 93.90%
Per- 90.59%	Prec- 94.39%	Rec- 90.99%	F1- 92.66%
Per- 92.35%	Prec- 94.23%	Rec- 93.33%	F1- 93.78%
Per- 92.35%	Prec- 97.37%	Rec- 91.74%	F1- 94.47%
Per- 90.00%	Prec- 94.12%	Rec- 89.72%	F1- 91.87%
Per- 86.47%	Prec- 94.44%	Rec- 85.71%	F1- 89.87%
Per- 91.76%	Prec- 92.79%	Rec- 94.50%	F1- 93.64%
Per- 90.59%	Prec- 92.08%	Rec- 92.08%	F1- 92.08%
Per- 93.53%	Prec- 94.44%	Rec- 95.33%	F1- 94.88%
Per- 93.53%	Prec- 95.19%	Rec- 94.29%	F1- 94.74%
Per- 93.53%	Prec- 99.00%	Rec- 90.83%	F1- 94.74%
Per- 83.53%	Prec- 93.27%	Rec- 82.20%	F1- 87.39%
Per- 88.82%	Prec- 93.68%	Rec- 87.25%	F1- 90.36%
Per- 90.00%	Prec- 90.00%	Rec- 92.78%	F1- 91.37%
Per- 90.00%	Prec- 90.10%	Rec- 92.86%	F1- 91.46%
Per- 87.06%	Prec- 93.81%	Rec- 85.05%	F1- 89.22%
Per- 91.76%	Prec- 96.30%	Rec- 91.23%	F1- 93.69%
Per- 91.76%	Prec- 94.50%	Rec- 92.79%	F1- 93.64%
Per- 89.41%	Prec- 87.04%	Rec- 95.92%	F1- 91.26%
Per- 91.76%	Prec- 90.57%	Rec- 96.00%	F1- 93.20%
Per- 88.82%	Prec- 91.75%	Rec- 89.00%	F1- 90.36%
Per- 90.59%	Prec- 93.75%	Rec- 92.11%	F1- 92.92%
Per- 92.94%	Prec- 95.15%	Rec- 93.33%	F1- 94.23%
Per- 87.06%	Prec- 97.20%	Rec- 84.55%	F1- 90.43%
Per- 89.41%	Prec- 89.32%	Rec- 92.93%	F1- 91.09%
Per- 91.18%	Prec- 95.10%	Rec- 90.65%	F1- 92.82%
