Maior afinidade - 80.985915493%	3 votos - 84.1549295775%	5 votos - 84.1549295775%	7 votos - 86.0328638498%
Maior afinidade - 91.9014084507%	3 votos - 91.1971830986%	5 votos - 91.1971830986%	7 votos - 91.4319248826%
Maior afinidade - 91.9014084507%	3 votos - 90.8450704225%	5 votos - 90.8450704225%	7 votos - 90.7276995305%
Maior afinidade - 91.9014084507%	3 votos - 89.4366197183%	5 votos - 89.4366197183%	7 votos - 89.9061032864%
Maior afinidade - 89.0845070423%	3 votos - 93.661971831%	5 votos - 93.661971831%	7 votos - 93.661971831%
Maior afinidade - 66.9014084507%	3 votos - 71.8309859155%	5 votos - 71.8309859155%	7 votos - 72.5352112676%
Maior afinidade - 93.661971831%	3 votos - 93.661971831%	5 votos - 93.661971831%	7 votos - 93.4272300469%
Maior afinidade - 77.8169014085%	3 votos - 91.1971830986%	5 votos - 91.1971830986%	7 votos - 90.3755868545%
Maior afinidade - 80.6338028169%	3 votos - 75.3521126761%	5 votos - 75.3521126761%	7 votos - 74.765258216%
Maior afinidade - 88.3802816901%	3 votos - 87.676056338%	5 votos - 87.676056338%	7 votos - 87.9107981221%
Maior afinidade - 85.2112676056%	3 votos - 76.7605633803%	5 votos - 76.7605633803%	7 votos - 76.2910798122%
Maior afinidade - 75.3521126761%	3 votos - 69.7183098592%	5 votos - 69.7183098592%	7 votos - 69.1314553991%
Maior afinidade - 66.9014084507%	3 votos - 77.1126760563%	5 votos - 77.1126760563%	7 votos - 78.4037558685%
Maior afinidade - 93.3098591549%	3 votos - 91.9014084507%	5 votos - 91.9014084507%	7 votos - 91.9014084507%
Maior afinidade - 54.9295774648%	3 votos - 59.8591549296%	5 votos - 59.8591549296%	7 votos - 60.2112676056%
Maior afinidade - 89.7887323944%	3 votos - 88.0281690141%	5 votos - 88.0281690141%	7 votos - 88.3802816901%
Maior afinidade - 91.9014084507%	3 votos - 87.676056338%	5 votos - 87.676056338%	7 votos - 87.558685446%
Maior afinidade - 82.3943661972%	3 votos - 86.6197183099%	5 votos - 86.6197183099%	7 votos - 85.7981220657%
